Patroling Sections:
[55.704741, -385.186179,0] -> [402.114902514, -185.186179,0] -> 
[55.704741, -485.186179,0] -> [488.717442892, -235.186179,0] -> 
[55.704741, -585.186179,0] -> [575.319983271, -285.186179,0] -> 
[55.704741, -685.186179,0] -> [661.922523649, -335.186179,0] -> 
[55.704741, -785.186179,0] -> [748.525064028, -385.186179,0] -> 
[55.704741, -885.186179,0] -> [835.127604406, -435.186179,0] -> 
[55.704741, -985.186179,0] -> [921.730144784, -485.186179,0] -> 
[921.730144784, -485.186179,0] -> [55.704741, -985.186179,0] -> 
[835.127604406, -435.186179,0] -> [55.704741, -885.186179,0] -> 
[748.525064028, -385.186179,0] -> [55.704741, -785.186179,0] -> 
[661.922523649, -335.186179,0] -> [55.704741, -685.186179,0] -> 
[575.319983271, -285.186179,0] -> [55.704741, -585.186179,0] -> 
[488.717442892, -235.186179,0] -> [55.704741, -485.186179,0] -> 
[402.114902514, -185.186179,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 402.114902514, -185.186179, 0 {210, 0} -> 55.704741, -385.186179, 0
57: 351.234021049239, -217.402950433079, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
58: 338.465952098553, -228.972276916092, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
59: 325.697883147868, -240.541603399106, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
60: 312.929814197183, -252.110929882119, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
61: 300.161745246498, -263.680256365132, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
62: 287.393676295813, -275.249582848145, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
63: 274.625607345128, -286.818909331158, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
64: 261.857538394443, -298.388235814172, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
65: 249.089469443758, -309.957562297185, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
66: 236.321400493073, -321.526888780198, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
