Patroling Sections:
[55.704741, -385.186179,0] -> [455.704741, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [555.704741, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [655.704741, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [755.704741, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [855.704741, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [955.704741, 14.813821,0] -> 
[55.704741, -985.186179,0] -> [1055.704741, 14.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[955.704741, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[855.704741, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[755.704741, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[655.704741, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[555.704741, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[455.704741, 14.813821,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 455.704741, 14.813821, 0 {225, 0} -> 55.704741, -385.186179, 0
44: 87.284430332279, -353.606489667720, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
45: 93.468079133755, -347.422840866243, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
46: 103.530208630040, -337.360711369959, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
47: 113.592338126324, -327.298581873674, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
48: 123.654467622609, -317.236452377390, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
49: 133.716597118893, -307.174322881105, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
50: 143.778726615178, -297.112193384821, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
51: 153.840856111462, -287.050063888536, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
52: 163.902985607747, -276.987934392251, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
53: 173.965115104032, -266.925804895967, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
54: 184.027244600316, -256.863675399682, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
55: 194.089374096601, -246.801545903398, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
56: 204.151503592885, -236.739416407113, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
57: 214.213633089170, -226.677286910829, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
58: 224.275762585454, -216.615157414544, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
59: 234.337892081739, -206.553027918259, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
60: 244.400021578024, -196.490898421975, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
